"day","num_rides"
"2017-01-01","1727"
"2017-01-02","1960"
"2017-01-03","4537"
"2017-01-04","3269"
"2017-01-05","2917"
"2017-01-06","2516"
"2017-01-07","1330"
"2017-01-08","1193"
"2017-01-09","3816"
"2017-01-10","3310"
"2017-01-11","3821"
"2017-01-12","3071"
"2017-01-13","3676"
"2017-01-14","2160"
"2017-01-15","2195"
"2017-01-16","1406"
"2017-01-17","4704"
"2017-01-18","5337"
"2017-01-19","4424"
"2017-01-20","4573"
"2017-01-21","7697"
"2017-01-22","3167"
"2017-01-23","5788"
"2017-01-24","5762"
"2017-01-25","5080"
"2017-01-26","4731"
"2017-01-27","4376"
"2017-01-28","2214"
"2017-01-29","1623"
"2017-01-30","4486"
"2017-01-31","5076"
"2017-02-01","5361"
"2017-02-02","4251"
"2017-02-03","4031"
"2017-02-04","2103"
"2017-02-05","2817"
"2017-02-06","6063"
"2017-02-07","4736"
"2017-02-08","5043"
"2017-02-09","4127"
"2017-02-10","4722"
"2017-02-11","4023"
"2017-02-12","3325"
"2017-02-13","6095"
"2017-02-14","6740"
"2017-02-15","5527"
"2017-02-16","5582"
"2017-02-17","9042"
"2017-02-18","13481"
"2017-02-19","11604"
"2017-02-20","9763"
"2017-02-21","8267"
"2017-02-22","10448"
"2017-02-23","5926"
"2017-02-24","5099"
"2017-02-25","1944"
"2017-02-26","3223"
"2017-02-27","7187"
"2017-02-28","5813"
"2017-03-01","4456"
"2017-03-02","5258"
"2017-03-03","5156"
"2017-03-04","3141"
"2017-03-05","4836"
"2017-03-06","7121"
"2017-03-07","7855"
"2017-03-08","6622"
"2017-03-09","6320"
"2017-03-10","5192"
"2017-03-11","2352"
"2017-03-12","2375"
"2017-03-13","2535"
"2017-03-14","1746"
"2017-03-15","3598"
"2017-03-16","4989"
"2017-03-17","4819"
"2017-03-18","3577"
"2017-03-19","4483"
"2017-03-20","6533"
"2017-03-21","6920"
"2017-03-22","5512"
"2017-03-23","6127"
"2017-03-24","10105"
"2017-03-25","1675"
"2017-03-26","3463"
"2017-03-27","5846"
"2017-03-28","6608"
"2017-03-29","5876"
"2017-03-30","3195"
"2017-03-31","5115"
"2017-04-01","7465"
"2017-04-02","5707"
"2017-04-03","4933"
"2017-04-04","7462"
"2017-04-05","1845"
"2017-04-06","6322"
"2017-04-07","7873"
"2017-04-08","12252"
"2017-04-09","13431"
"2017-04-10","6522"
"2017-04-11","8517"
"2017-04-12","9647"
"2017-04-13","6379"
"2017-04-14","9492"
"2017-04-15","17942"
"2017-04-16","10399"
"2017-04-17","11326"
"2017-04-18","12931"
"2017-04-19","8550"
"2017-04-20","11472"
"2017-04-21","9139"
"2017-04-22","8594"
"2017-04-23","12216"
"2017-04-24","12159"
"2017-04-25","14204"
"2017-04-26","11924"
"2017-04-27","7065"
"2017-04-28","9393"
"2017-04-29","1879"
"2017-04-30","1622"
"2017-05-01","6569"
"2017-05-02","7340"
"2017-05-03","10160"
"2017-05-04","8801"
"2017-05-05","8541"
"2017-05-06","7743"
"2017-05-07","7336"
"2017-05-08","9848"
"2017-05-09","8264"
"2017-05-10","7915"
"2017-05-11","11515"
"2017-05-12","13277"
"2017-05-13","15015"
"2017-05-14","11392"
"2017-05-15","14855"
"2017-05-16","16166"
"2017-05-17","14295"
"2017-05-18","14614"
"2017-05-19","5823"
"2017-05-20","5119"
"2017-05-21","10311"
"2017-05-22","14461"
"2017-05-23","7152"
"2017-05-24","9367"
"2017-05-25","12630"
"2017-05-26","8802"
"2017-05-27","16842"
"2017-05-28","14464"
"2017-05-29","16869"
"2017-05-30","14558"
"2017-05-31","15944"
"2017-06-01","16364"
"2017-06-02","18318"
"2017-06-03","19225"
"2017-06-04","16690"
"2017-06-05","15967"
"2017-06-06","16583"
"2017-06-07","16951"
"2017-06-08","17836"
"2017-06-09","18233"
"2017-06-10","19413"
"2017-06-11","17265"
"2017-06-12","16221"
"2017-06-13","16461"
"2017-06-14","11273"
"2017-06-15","17338"
"2017-06-16","15847"
"2017-06-17","14816"
"2017-06-18","16586"
"2017-06-19","15802"
"2017-06-20","17183"
"2017-06-21","18728"
"2017-06-22","17223"
"2017-06-23","16827"
"2017-06-24","20001"
"2017-06-25","16818"
"2017-06-26","17346"
"2017-06-27","18691"
"2017-06-28","13668"
"2017-06-29","14637"
"2017-06-30","16853"
"2017-07-01","20080"
"2017-07-02","19489"
"2017-07-03","20276"
"2017-07-04","20535"
"2017-07-05","18199"
"2017-07-06","18591"
"2017-07-07","17583"
"2017-07-08","22106"
"2017-07-09","18678"
"2017-07-10","12784"
"2017-07-11","17276"
"2017-07-12","12539"
"2017-07-13","17659"
"2017-07-14","18721"
"2017-07-15","21945"
"2017-07-16","16984"
"2017-07-17","19553"
"2017-07-18","19888"
"2017-07-19","18522"
"2017-07-20","12657"
"2017-07-21","14520"
"2017-07-22","17498"
"2017-07-23","16684"
"2017-07-24","18370"
"2017-07-25","19343"
"2017-07-26","18530"
"2017-07-27","18246"
"2017-07-28","19401"
"2017-07-29","20798"
"2017-07-30","18281"
"2017-07-31","19406"
"2017-08-01","18649"
"2017-08-02","20120"
"2017-08-03","16813"
"2017-08-04","15520"
"2017-08-05","20250"
"2017-08-06","15189"
"2017-08-07","19062"
"2017-08-08","20252"
"2017-08-09","19515"
"2017-08-10","17931"
"2017-08-11","18842"
"2017-08-12","20198"
"2017-08-13","17898"
"2017-08-14","19029"
"2017-08-15","20333"
"2017-08-16","15838"
"2017-08-17","16283"
"2017-08-18","19789"
"2017-08-19","20797"
"2017-08-20","16507"
"2017-08-21","18125"
"2017-08-22","17475"
"2017-08-23","18906"
"2017-08-24","17522"
"2017-08-25","18930"
"2017-08-26","18374"
"2017-08-27","13160"
"2017-08-28","15604"
"2017-08-29","15966"
"2017-08-30","18043"
"2017-08-31","16719"
"2017-09-01","15633"
"2017-09-02","15270"
"2017-09-03","20709"
"2017-09-04","15041"
"2017-09-05","15647"
"2017-09-06","14537"
"2017-09-07","15449"
"2017-09-08","15216"
"2017-09-09","15281"
"2017-09-10","14197"
"2017-09-11","16766"
"2017-09-12","17453"
"2017-09-13","14358"
"2017-09-14","17052"
"2017-09-15","18249"
"2017-09-16","18284"
"2017-09-17","14750"
"2017-09-18","17430"
"2017-09-19","15316"
"2017-09-20","16564"
"2017-09-21","16183"
"2017-09-22","17459"
"2017-09-23","17207"
"2017-09-24","14845"
"2017-09-25","16999"
"2017-09-26","17311"
"2017-09-27","15874"
"2017-09-28","16466"
"2017-09-29","15816"
"2017-09-30","14127"
"2017-10-01","12510"
"2017-10-02","16436"
"2017-10-03","14711"
"2017-10-04","14740"
"2017-10-05","16228"
"2017-10-06","11165"
"2017-10-07","9428"
"2017-10-08","17280"
"2017-10-09","18232"
"2017-10-10","10648"
"2017-10-11","7702"
"2017-10-12","13466"
"2017-10-13","16661"
"2017-10-14","1563"
"2017-10-15","6758"
"2017-10-16","13724"
"2017-10-17","14970"
"2017-10-18","14726"
"2017-10-19","15229"
"2017-10-20","16403"
"2017-10-21","14830"
"2017-10-22","6125"
"2017-10-23","6369"
"2017-10-24","3747"
"2017-10-25","11341"
"2017-10-26","11918"
"2017-10-27","8710"
"2017-10-28","4664"
"2017-10-29","5890"
"2017-10-30","9367"
"2017-10-31","8563"
"2017-11-01","6327"
"2017-11-02","7832"
"2017-11-03","9445"
"2017-11-04","2665"
"2017-11-05","4614"
"2017-11-06","8803"
"2017-11-07","9121"
"2017-11-08","9345"
"2017-11-09","8271"
"2017-11-10","4389"
"2017-11-11","3045"
"2017-11-12","2152"
"2017-11-13","8326"
"2017-11-14","9045"
"2017-11-15","6030"
"2017-11-16","7889"
"2017-11-17","5916"
"2017-11-18","1664"
"2017-11-19","3397"
"2017-11-20","7966"
"2017-11-21","6731"
"2017-11-22","5179"
"2017-11-23","1851"
"2017-11-24","4530"
"2017-11-25","4251"
"2017-11-26","3606"
"2017-11-27","9146"
"2017-11-28","9926"
"2017-11-29","9007"
"2017-11-30","9270"
"2017-12-01","9142"
"2017-12-02","6728"
"2017-12-03","6338"
"2017-12-04","9089"
"2017-12-05","5876"
"2017-12-06","6302"
"2017-12-07","5410"
"2017-12-08","5266"
"2017-12-09","1790"
"2017-12-10","2200"
"2017-12-11","5345"
"2017-12-12","4521"
"2017-12-13","5234"
"2017-12-14","5047"
"2017-12-15","4859"
"2017-12-16","3808"
"2017-12-17","3001"
"2017-12-18","6031"
"2017-12-19","7225"
"2017-12-20","4076"
"2017-12-21","5676"
"2017-12-22","4576"
"2017-12-23","1727"
"2017-12-24","403"
"2017-12-25","240"
"2017-12-26","779"
"2017-12-27","1138"
"2017-12-28","1294"
"2017-12-29","1076"
"2017-12-30","548"
"2017-12-31","651"
"2018-01-01","376"
"2018-01-02","1637"
"2018-01-03","2493"
"2018-01-04","2416"
"2018-01-05","2228"
"2018-01-06","1093"
"2018-01-07","1076"
"2018-01-08","4663"
"2018-01-09","5163"
"2018-01-10","5173"
"2018-01-11","4473"
"2018-01-12","3243"
"2018-01-13","1420"
"2018-01-14","1206"
"2018-01-15","1337"
"2018-01-16","2852"
"2018-01-17","3343"
"2018-01-18","4137"
"2018-01-19","4753"
"2018-01-20","3951"
"2018-01-21","2831"
"2018-01-22","4919"
"2018-01-23","4142"
"2018-01-24","4914"
"2018-01-25","5939"
"2018-01-26","6707"
"2018-01-27","5150"
"2018-01-28","2971"
"2018-01-29","4351"
"2018-01-30","4933"
"2018-01-31","5816"
"2018-02-01","4425"
"2018-02-02","3347"
"2018-02-03","2090"
"2018-02-04","658"
"2018-02-05","2129"
"2018-02-06","2862"
"2018-02-07","2834"
"2018-02-08","3206"
"2018-02-09","696"
"2018-02-10","842"
"2018-02-11","672"
"2018-02-12","2684"
"2018-02-13","3756"
"2018-02-14","4617"
"2018-02-15","5297"
"2018-02-16","5012"
"2018-02-17","1958"
"2018-02-18","2241"
"2018-02-19","3027"
"2018-02-20","3070"
"2018-02-21","5165"
"2018-02-22","5717"
"2018-02-23","5526"
"2018-02-24","2996"
"2018-02-25","3584"
"2018-02-26","7699"
"2018-02-27","9309"
"2018-02-28","7531"
"2018-03-01","3991"
"2018-03-02","6496"
"2018-03-03","4480"
"2018-03-04","4333"
"2018-03-05","5108"
"2018-03-06","5372"
"2018-03-07","5524"
"2018-03-08","5616"
"2018-03-09","5990"
"2018-03-10","4159"
"2018-03-11","3387"
"2018-03-12","6685"
"2018-03-13","5559"
"2018-03-14","6977"
"2018-03-15","7255"
"2018-03-16","6290"
"2018-03-17","3937"
"2018-03-18","6842"
"2018-03-19","6779"
"2018-03-20","5878"
"2018-03-21","6088"
"2018-03-22","6901"
"2018-03-23","6597"
"2018-03-24","3129"
"2018-03-25","3407"
"2018-03-26","6575"
"2018-03-27","6221"
"2018-03-28","7936"
"2018-03-29","6273"
"2018-03-30","6580"
"2018-03-31","4124"
"2018-04-01","2350"
"2018-04-02","6687"
"2018-04-03","4270"
"2018-04-04","5335"
"2018-04-05","5803"
"2018-04-06","5915"
"2018-04-07","3890"
"2018-04-08","3303"
"2018-04-09","4211"
"2018-04-10","7289"
"2018-04-11","9177"
"2018-04-12","10411"
