State,expend,ratio,salary,frac,verbal,math,sat
"Alabama",4405,17.2,31144,8,491,538,1029
"Alaska",8963,17.6,47951,47,445,489,934
"Arizona",4778,19.3,32175,27,448,496,944
"Arkansas",4459,17.1,28934,6,482,523,1005
"California",4992,24.0,41078,45,417,485,902
"Colorado",5443,18.4,34571,29,462,518,980
"Connecticut",8817,14.4,50045,81,431,477,908
"Delaware",7030,16.6,39076,68,429,468,897
"Florida",5718,19.1,32588,48,420,469,889
"Georgia",5193,16.3,32291,65,406,448,854
"Hawaii",6078,17.9,38518,57,407,482,889
"Idaho",4210,19.1,29783,15,468,511,979
"Illinois",6136,17.3,39431,13,488,560,1048
"Indiana",5826,17.5,36785,58,415,467,882
"Iowa",5483,15.8,31511,5,516,583,1099
"Kansas",5817,15.1,34652,9,503,557,1060
"Kentucky",5217,17.0,32257,11,477,522,999
"Louisiana",4761,16.8,26461,9,486,535,1021
"Maine",6428,13.8,31972,68,427,469,896
"Maryland",7245,17.0,40661,64,430,479,909
"Massachusetts",7287,14.8,40795,80,430,477,907
"Michigan",6994,20.1,41895,11,484,549,1033
"Minnesota",6000,17.5,35948,9,506,579,1085
"Mississippi",4080,17.5,26818,4,496,540,1036
"Missouri",5383,15.5,31189,9,495,550,1045
"Montana",5692,16.3,28785,21,473,536,1009
"Nebraska",5935,14.5,30922,9,494,556,1050
"Nevada",5160,18.7,34836,30,434,483,917
"New Hampshire",5859,15.6,34720,70,444,491,935
"New Jersey",9774,13.8,46087,70,420,478,898
"New Mexico",4586,17.2,28493,11,485,530,1015
"New York",9623,15.2,47612,74,419,473,892
"North Carolina",5077,16.2,30793,60,411,454,865
"North Dakota",4775,15.3,26327,5,515,592,1107
"Ohio",6162,16.6,36802,23,460,515,975
"Oklahoma",4845,15.5,28172,9,491,536,1027
"Oregon",6436,19.9,38555,51,448,499,947
"Pennsylvania",7109,17.1,44510,70,419,461,880
"Rhode Island",7469,14.7,40729,70,425,463,888
"South Carolina",4797,16.4,30279,58,401,443,844
"South Dakota",4775,14.4,25994,5,505,563,1068
"Tennessee",4388,18.6,32477,12,497,543,1040
"Texas",5222,15.7,31223,47,419,474,893
"Utah",3656,24.3,29082,4,513,563,1076
"Vermont",6750,13.8,35406,68,429,472,901
"Virginia",5327,14.6,33987,65,428,468,896
"Washington",5906,20.2,36151,48,443,494,937
"West Virginia",6107,14.8,31944,17,448,484,932
"Wisconsin",6930,15.9,37746,9,501,572,1073
"Wyoming",6160,14.9,31285,10,476,525,1001
